run_id,timestamp_utc,git_commit,params_json,metrics_json,notes
run_eacef967,2026-09-17T17:02:05.809325,no_git,"{""symbol"": ""XAUUSD"", ""timeframe"": ""M5"", ""sessions"": {""asian"": {""enable"": true, ""start"": ""00:00"", ""end"": ""08:00""}, ""london"": {""enable"": true, ""start"": ""08:00"", ""end"": ""14:30""}, ""new_york"": {""enable"": false, ""start"": ""14:30"", ""end"": ""23:59""}}, ""momentum_params"": {""placeholder_lookback"": 14, ""placeholder_threshold"": 1.5}}","{""total_trades"": 3714, ""net_profit"": 5368.0, ""win_rate_pct"": 34.28, ""profit_factor"": 1.03, ""monte_carlo"": {""p_pass"": 54.17, ""p_fail_max_dd"": 45.83, ""p_fail_daily_loss"": 0.0, ""p_timeout"": 0.0, ""max_dd_mean"": 6.75, ""max_dd_p95"": 10.72, ""avg_days_to_pass"": 23.4}}",Tự động chạy chiến lược triplemomentum
run_ba60a325,2026-09-17T17:03:06.730004,no_git,"{""symbol"": ""XAUUSD"", ""timeframe"": ""M5"", ""sessions"": {""asian"": {""enable"": true, ""start"": ""00:00"", ""end"": ""08:00""}, ""london"": {""enable"": true, ""start"": ""08:00"", ""end"": ""14:30""}, ""new_york"": {""enable"": false, ""start"": ""14:30"", ""end"": ""23:59""}}, ""momentum_params"": {""placeholder_lookback"": 14, ""placeholder_threshold"": 1.5}}","{""total_trades"": 20454, ""net_profit"": 5076495.0, ""win_rate_pct"": 35.53, ""profit_factor"": 1.06, ""monte_carlo"": {""p_pass"": 36.01, ""p_fail_max_dd"": 62.94, ""p_fail_daily_loss"": 1.05, ""p_timeout"": 0.0, ""max_dd_mean"": 84.75, ""max_dd_p95"": 224.75, ""avg_days_to_pass"": 0.6}}",Tự động chạy chiến lược momentum
run_787e254e,2026-09-17T17:03:25.679819,no_git,"{""symbol"": ""XAUUSD"", ""timeframe"": ""M5"", ""sessions"": {""asian"": {""enable"": true, ""start"": ""00:00"", ""end"": ""08:00""}, ""london"": {""enable"": true, ""start"": ""08:00"", ""end"": ""14:30""}, ""new_york"": {""enable"": false, ""start"": ""14:30"", ""end"": ""23:59""}}, ""momentum_params"": {""placeholder_lookback"": 14, ""placeholder_threshold"": 1.5}}","{""total_trades"": 697, ""net_profit"": 4470.0, ""win_rate_pct"": 37.02, ""profit_factor"": 1.16, ""monte_carlo"": {""p_pass"": 83.19, ""p_fail_max_dd"": 16.75, ""p_fail_daily_loss"": 0.0, ""p_timeout"": 0.06, ""max_dd_mean"": 4.42, ""max_dd_p95"": 10.38, ""avg_days_to_pass"": 35.8}}",Tự động chạy chiến lược simplersi
run_bfc38676,2026-09-17T17:17:39.827338,no_git,"{""symbol"": ""XAUUSD"", ""timeframe"": ""M5"", ""sessions"": {""asian"": {""enable"": true, ""start"": ""00:00"", ""end"": ""08:00""}, ""london"": {""enable"": true, ""start"": ""08:00"", ""end"": ""14:30""}, ""new_york"": {""enable"": false, ""start"": ""14:30"", ""end"": ""23:59""}}, ""momentum_params"": {""placeholder_lookback"": 14, ""placeholder_threshold"": 1.5}}","{""total_trades"": 697, ""net_profit"": 4470.0, ""win_rate_pct"": 37.02, ""profit_factor"": 1.16, ""monte_carlo"": {""p_pass"": 83.19, ""p_fail_max_dd"": 16.75, ""p_fail_daily_loss"": 0.0, ""p_timeout"": 0.06, ""max_dd_mean"": 4.42, ""max_dd_p95"": 10.38, ""avg_days_to_pass"": 35.8}}",Tự động chạy chiến lược simplersi
run_fd76c2bb,2026-09-17T17:19:04.289864,no_git,"{""symbol"": ""XAUUSD"", ""timeframe"": ""M5"", ""sessions"": {""asian"": {""enable"": true, ""start"": ""00:00"", ""end"": ""08:00""}, ""london"": {""enable"": true, ""start"": ""08:00"", ""end"": ""14:30""}, ""new_york"": {""enable"": false, ""start"": ""14:30"", ""end"": ""23:59""}}, ""momentum_params"": {""placeholder_lookback"": 14, ""placeholder_threshold"": 1.5}}","{""total_trades"": 20454, ""net_profit"": 1757000.0, ""win_rate_pct"": 35.53, ""profit_factor"": 1.1, ""monte_carlo"": {""p_pass"": 36.01, ""p_fail_max_dd"": 62.94, ""p_fail_daily_loss"": 1.05, ""p_timeout"": 0.0, ""max_dd_mean"": 15.39, ""max_dd_p95"": 26.09, ""avg_days_to_pass"": 0.6}}",Tự động chạy chiến lược momentum
run_edfe7ca1,2026-09-21T11:06:35.906988,no_git,"{""symbol"": ""XAUUSD"", ""timeframe"": ""M5"", ""sessions"": {""asian"": {""enable"": true, ""start"": ""00:00"", ""end"": ""08:00""}, ""london"": {""enable"": true, ""start"": ""08:00"", ""end"": ""14:30""}, ""new_york"": {""enable"": false, ""start"": ""14:30"", ""end"": ""23:59""}}, ""momentum_params"": {""placeholder_lookback"": 14, ""placeholder_threshold"": 1.5}}","{""total_trades"": 82, ""net_profit"": 880.0, ""win_rate_pct"": 40.24, ""profit_factor"": 1.34, ""max_consecutive_losses_count"": 8, ""monte_carlo"": {""p_pass"": 53.8, ""p_fail_max_dd"": 0.5, ""p_fail_daily_loss"": 0.0, ""p_timeout"": 45.7, ""max_dd_mean"": 1.99, ""max_dd_p95"": 6.27, ""avg_days_to_pass"": 17.1}}",Tự động chạy chiến lược momentum
run_d2c4fc60,2026-09-21T11:07:41.509021,no_git,"{""symbol"": ""XAUUSD"", ""timeframe"": ""M5"", ""sessions"": {""asian"": {""enable"": true, ""start"": ""00:00"", ""end"": ""08:00""}, ""london"": {""enable"": true, ""start"": ""08:00"", ""end"": ""14:30""}, ""new_york"": {""enable"": false, ""start"": ""14:30"", ""end"": ""23:59""}}, ""momentum_params"": {""placeholder_lookback"": 14, ""placeholder_threshold"": 1.5}}","{""total_trades"": 123, ""net_profit"": 1074.0, ""win_rate_pct"": 39.02, ""profit_factor"": 1.27, ""max_consecutive_losses_count"": 11, ""monte_carlo"": {""p_pass"": 65.4, ""p_fail_max_dd"": 1.98, ""p_fail_daily_loss"": 0.0, ""p_timeout"": 32.62, ""max_dd_mean"": 2.49, ""max_dd_p95"": 7.72, ""avg_days_to_pass"": 22.7}}",Tự động chạy chiến lược simplersi
run_3c4383aa,2026-09-21T11:09:06.754984,no_git,"{""symbol"": ""XAUUSD"", ""timeframe"": ""M5"", ""sessions"": {""asian"": {""enable"": true, ""start"": ""00:00"", ""end"": ""08:00""}, ""london"": {""enable"": true, ""start"": ""08:00"", ""end"": ""14:30""}, ""new_york"": {""enable"": false, ""start"": ""14:30"", ""end"": ""23:59""}}, ""momentum_params"": {""placeholder_lookback"": 14, ""placeholder_threshold"": 1.5}}","{""total_trades"": 804, ""net_profit"": 5588.0, ""win_rate_pct"": 37.19, ""profit_factor"": 1.17, ""max_consecutive_losses_count"": 17, ""monte_carlo"": {""p_pass"": 91.21, ""p_fail_max_dd"": 8.67, ""p_fail_daily_loss"": 0.0, ""p_timeout"": 0.12, ""max_dd_mean"": 3.61, ""max_dd_p95"": 10.15, ""avg_days_to_pass"": 48.8}}",Tự động chạy chiến lược triplemomentum
run_d0aba220,2026-09-21T16:46:05.512276,no_git,"{""symbol"": ""XAUUSD"", ""timeframe"": ""M5"", ""sessions"": {""asian"": {""enable"": true, ""start"": ""00:00"", ""end"": ""08:00""}, ""london"": {""enable"": true, ""start"": ""08:00"", ""end"": ""14:30""}, ""new_york"": {""enable"": false, ""start"": ""14:30"", ""end"": ""23:59""}}, ""momentum_params"": {""placeholder_lookback"": 14, ""placeholder_threshold"": 1.5}}","{""total_trades"": 804, ""net_profit"": 5588.0, ""win_rate_pct"": 37.19, ""profit_factor"": 1.17, ""max_consecutive_losses_count"": 17, ""monte_carlo"": {""p_pass"": 91.21, ""p_fail_max_dd"": 8.67, ""p_fail_daily_loss"": 0.0, ""p_timeout"": 0.12, ""max_dd_mean"": 3.61, ""max_dd_p95"": 10.15, ""avg_days_to_pass"": 48.8}}",Tự động chạy chiến lược triplemomentum
run_3cf6a95d,2026-09-21T17:17:38.936722,no_git,"{""symbol"": ""XAUUSD"", ""timeframe"": ""M5"", ""sessions"": {""asian"": {""enable"": true, ""start"": ""00:00"", ""end"": ""08:00""}, ""london"": {""enable"": true, ""start"": ""08:00"", ""end"": ""14:30""}, ""new_york"": {""enable"": false, ""start"": ""14:30"", ""end"": ""23:59""}}, ""momentum_params"": {""placeholder_lookback"": 14, ""placeholder_threshold"": 1.5}}","{""total_trades"": 5936, ""net_profit"": 95845.0, ""win_rate_pct"": 36.15, ""profit_factor"": 1.22, ""max_consecutive_losses_count"": 16, ""monte_carlo"": {""p_pass"": 84.54, ""p_fail_max_dd"": 15.46, ""p_fail_daily_loss"": 0.0, ""p_timeout"": 0.0, ""max_dd_mean"": 4.33, ""max_dd_p95"": 10.27, ""avg_days_to_pass"": 56.2}}",Tự động chạy chiến lược momentum
